commune,zone,lat,lon,P14_N,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,P14_E,P14_O,P14_S,tilt21_N,tilt00_N,tilt10_N,tilt15_N,tilt30_N,tilt45_N,tilt60_N,tilt90_N,P00_N,P06_N,ratio_N_S,ratio_E_O,alertes
Port-Louis,cotier,-20.1609,57.5012,1370.88,126.1,112.9,119.3,110.1,103.8,95.8,99.4,105.6,116.6,125.7,123.7,131.8,1274.7,1277.3,1166.7,1370.88,1325.96,1361.56,1369.68,1354.79,1278.39,1139.15,694.31,1594.05,1498.4,1.175,0.998,
Grand-Baie,cotier,-20.008,57.58,1558.69,134.0,122.6,133.3,126.9,121.1,109.8,115.6,127.2,138.2,147.8,140.0,142.1,1398.75,1460.5,1280.67,1558.69,1492.96,1542.28,1554.64,1542.28,1452.67,1284.08,747.32,1812.43,1703.68,1.217,0.958,
Cap-Malheureux,cotier,-19.985,57.614,1560.51,133.8,121.4,133.2,127.2,121.8,109.8,116.2,127.2,139.0,148.4,140.2,142.3,1398.36,1465.81,1280.64,1560.51,1495.39,1544.71,1556.85,1543.23,1451.45,1280.48,738.58,1814.55,1705.67,1.219,0.954,
Trou-aux-Biches,cotier,-20.034,57.545,1542.7,132.9,122.3,132.3,125.8,120.2,109.9,115.2,125.8,134.8,145.5,136.3,141.6,1391.46,1435.59,1264.12,1542.7,1475.17,1525.1,1537.95,1527.57,1440.7,1275.64,748.18,1793.84,1686.21,1.22,0.969,
Triolet,cotier,-20.056,57.547,1500.99,131.5,119.6,128.8,121.5,115.4,106.3,111.3,121.0,130.3,141.3,133.7,140.3,1365.05,1398.29,1244.02,1500.99,1440.12,1485.87,1497.32,1485.41,1401.12,1242.82,737.35,1745.34,1640.62,1.207,0.976,
Pamplemousses,cotier,-20.104,57.57,1483.07,131.4,119.6,128.2,119.5,112.7,103.7,108.7,118.5,128.7,139.2,133.5,139.2,1354.89,1384.33,1239.27,1483.07,1426.45,1469.59,1480.13,1467.12,1384.06,1229.09,733.3,1724.5,1621.03,1.197,0.979,
Riviere-du-Rempart,cotier,-20.045,57.682,1555.26,134.0,121.6,132.9,127.1,121.2,109.0,115.2,126.5,138.5,147.7,140.2,141.4,1394.34,1461.59,1278.32,1555.26,1490.94,1539.73,1551.72,1538.04,1447.05,1277.71,739.28,1808.44,1699.94,1.217,0.954,
Centre-de-Flacq,cotier,-20.19,57.715,1502.25,129.7,118.4,128.8,123.0,114.7,103.7,108.7,121.4,133.6,143.9,137.9,138.4,1355.8,1412.82,1246.98,1502.25,1443.79,1488.6,1499.42,1485.31,1398.46,1237.46,724.13,1746.8,1641.99,1.205,0.96,
Belle-Mare,cotier,-20.193,57.758,1525.68,130.3,119.4,129.8,124.9,117.6,106.5,111.2,124.3,136.3,145.9,139.7,139.9,1373.75,1431.59,1257.41,1525.68,1463.89,1511.04,1522.51,1508.44,1419.09,1253.71,727.43,1774.05,1667.6,1.213,0.96,
Trou-d-Eau-Douce,cotier,-20.244,57.788,1501.81,129.4,118.2,128.2,122.4,114.7,104.1,108.7,121.6,134.4,144.6,137.1,138.4,1353.17,1411.82,1244.21,1501.81,1442.61,1487.87,1498.83,1485.04,1398.36,1237.34,723.48,1746.29,1641.51,1.207,0.958,
Bel-Air-Riviere-Seche,cotier,-20.254,57.736,1449.95,127.3,114.8,124.9,117.4,109.6,98.6,101.8,115.5,129.2,140.1,134.6,136.1,1320.88,1364.32,1217.14,1449.95,1398.68,1439.02,1448.31,1432.5,1348.2,1193.96,703.19,1685.99,1584.83,1.191,0.968,
Mahebourg,cotier,-20.4081,57.7,1514.34,128.9,117.9,127.8,122.8,117.1,105.4,110.0,123.7,136.3,145.4,139.1,140.0,1364.85,1419.28,1246.99,1514.34,1452.15,1499.23,1510.84,1497.9,1410.41,1247.36,726.24,1760.86,1655.21,1.214,0.962,
Blue-Bay,cotier,-20.445,57.708,1511.53,128.6,117.6,127.6,122.5,116.9,105.2,109.8,123.5,136.1,145.1,138.8,139.8,1361.91,1416.42,1244.03,1511.53,1449.13,1496.28,1507.94,1495.25,1408.14,1245.6,725.69,1757.59,1652.14,1.215,0.962,
Plaine-Magnien,cotier,-20.431,57.656,1495.04,129.0,116.7,127.2,120.7,114.7,103.1,106.8,121.2,134.3,144.3,137.6,139.6,1356.58,1401.21,1241.49,1495.04,1437.39,1481.75,1492.37,1478.02,1391.62,1232.39,722.9,1738.42,1634.11,1.204,0.968,
Souillac,cotier,-20.517,57.518,1478.35,127.7,116.7,126.8,120.0,113.9,100.7,105.2,120.0,132.2,142.5,134.2,138.4,1337.07,1384.68,1224.29,1478.35,1420.14,1464.7,1475.45,1461.84,1376.65,1218.91,713.57,1719.01,1615.87,1.208,0.966,
Surinam,cotier,-20.509,57.5,1478.46,127.7,116.7,126.8,120.0,113.9,100.7,105.3,120.0,132.2,142.5,134.2,138.4,1338.06,1384.65,1224.44,1478.46,1420.16,1464.74,1475.52,1462.0,1376.88,1219.18,713.88,1719.14,1615.99,1.207,0.966,
Bel-Ombre,cotier,-20.502,57.401,1462.39,126.6,116.6,126.7,118.9,112.9,99.3,103.9,117.6,130.8,140.4,131.8,136.7,1326.77,1367.87,1213.04,1462.39,1405.1,1448.9,1459.51,1446.2,1362.36,1206.87,708.89,1700.45,1598.43,1.206,0.97,
Baie-du-Cap,cotier,-20.49,57.376,1412.68,125.6,116.5,124.6,115.0,109.7,97.3,100.3,111.7,123.6,132.3,124.0,132.2,1294.57,1309.29,1178.29,1412.68,1357.95,1399.44,1409.65,1397.92,1319.84,1173.89,704.2,1642.65,1544.09,1.199,0.989,
Le-Morne,cotier,-20.456,57.312,1402.22,124.8,115.5,123.7,114.0,109.0,96.8,99.3,110.9,122.6,131.7,122.8,131.0,1283.48,1300.25,1169.18,1402.22,1348.16,1389.31,1399.37,1387.26,1309.06,1163.28,695.43,1630.49,1532.66,1.199,0.987,
Riviere-Noire,cotier,-20.36,57.367,1251.34,120.7,108.0,112.0,101.5,92.2,82.4,82.3,91.4,105.0,117.2,114.8,123.8,1178.25,1170.6,1088.12,1251.34,1220.74,1247.88,1252.88,1233.24,1159.36,1029.91,623.95,1455.05,1367.74,1.15,1.007,
Tamarin,cotier,-20.326,57.372,1410.35,125.2,113.9,123.0,115.7,110.7,100.0,105.2,112.9,123.1,130.2,121.3,129.1,1307.68,1293.18,1174.31,1410.35,1353.63,1395.88,1406.61,1396.85,1321.51,1179.27,717.36,1639.94,1541.55,1.201,1.011,
Flic-en-Flac,cotier,-20.274,57.366,1441.96,126.7,115.0,124.9,118.6,112.4,105.0,109.6,117.3,125.2,132.2,123.8,131.2,1332.62,1319.24,1191.17,1441.96,1379.77,1425.15,1437.1,1429.47,1353.9,1208.98,735.67,1676.7,1576.1,1.211,1.01,
Albion,cotier,-20.208,57.402,1429.76,128.1,115.7,123.8,117.3,110.3,102.8,105.7,113.7,123.4,131.3,124.7,133.2,1325.4,1316.94,1196.33,1429.76,1374.48,1416.11,1426.5,1415.38,1338.1,1193.18,725.52,1662.51,1562.76,1.195,1.006,
Curepipe,plateau,-20.3188,57.5261,1278.37,122.7,108.4,115.0,103.1,94.0,83.5,83.1,93.5,108.1,119.9,119.5,127.5,1200.01,1201.14,1112.42,1278.37,1247.48,1275.04,1280.06,1259.69,1183.98,1051.65,636.58,1486.48,1397.29,1.149,0.999,
Vacoas-Phoenix,plateau,-20.298,57.478,1377.11,126.1,113.8,120.4,112.8,104.9,95.8,98.5,107.2,118.5,126.3,121.7,131.1,1282.31,1275.34,1167.34,1377.11,1330.17,1366.91,1375.48,1361.44,1285.22,1145.32,697.03,1601.29,1505.21,1.18,1.005,
