commune,zone,lat,lon,P14_N,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,P14_E,P14_O,P14_S,tilt21_N,tilt00_N,tilt10_N,tilt15_N,tilt30_N,tilt45_N,tilt60_N,tilt90_N,P00_N,P06_N,ratio_N_S,ratio_E_O,alertes
Saint-Denis,cotier,-20.8823,55.4504,1495.64,126.0,118.2,128.1,121.7,117.3,106.9,116.9,125.7,132.3,138.9,128.9,134.7,1347.2,1366.54,1201.69,1495.64,1418.65,1472.61,1487.77,1486.06,1411.49,1261.31,754.95,1739.12,1634.77,1.245,0.986,
Sainte-Marie,cotier,-20.8967,55.5497,1504.29,126.3,118.7,128.9,122.4,118.0,107.6,117.8,126.3,133.2,140.3,129.6,135.3,1351.25,1381.33,1207.66,1504.29,1426.67,1481.09,1496.36,1494.68,1419.0,1266.74,755.85,1749.17,1644.22,1.246,0.978,
Sainte-Suzanne,cotier,-20.9058,55.6072,1487.12,126.4,118.0,126.8,119.8,114.0,103.9,113.9,123.4,133.1,140.9,131.6,135.4,1330.6,1382.52,1207.18,1487.12,1416.41,1467.13,1480.84,1475.61,1398.31,1246.64,743.04,1729.21,1625.46,1.232,0.962,
Saint-Andre,cotier,-20.9631,55.6503,1477.19,126.7,117.1,125.7,117.8,112.8,102.7,112.8,122.3,132.7,140.3,131.3,135.1,1326.06,1374.07,1203.08,1477.19,1408.44,1457.95,1471.23,1465.47,1388.53,1238.26,739.89,1717.66,1614.6,1.228,0.965,
Bras-Panon,cotier,-21.0006,55.6789,1444.97,124.2,113.9,122.7,115.0,109.7,100.0,109.8,119.4,130.6,137.9,128.7,133.0,1301.47,1346.35,1184.47,1444.97,1380.7,1427.47,1439.79,1432.92,1357.66,1211.85,727.15,1680.2,1579.39,1.22,0.967,
Saint-Benoit,cotier,-21.0339,55.7128,1482.28,126.6,117.0,125.6,118.1,113.2,102.1,111.8,122.6,134.2,142.2,133.3,135.7,1320.79,1387.38,1206.9,1482.28,1414.05,1463.53,1476.64,1469.95,1391.41,1238.76,733.78,1723.58,1620.17,1.228,0.952,
Sainte-Rose,cotier,-21.1281,55.7936,1424.49,123.6,114.6,121.8,114.3,107.1,96.1,104.8,115.3,127.8,136.2,128.7,134.2,1290.26,1331.18,1180.68,1424.49,1366.76,1409.92,1420.78,1410.89,1334.83,1190.49,714.31,1656.38,1557.0,1.206,0.969,
Saint-Philippe,cotier,-21.3625,55.7681,1380.88,122.0,111.7,119.1,108.9,103.2,90.8,96.8,110.3,124.2,135.7,125.7,132.7,1260.57,1288.73,1151.41,1380.88,1327.71,1368.03,1377.9,1366.8,1291.49,1149.94,687.93,1605.67,1509.33,1.199,0.978,
Saint-Joseph,cotier,-21.3789,55.6203,1386.84,121.3,111.9,120.8,110.2,105.2,95.1,99.3,114.0,125.1,132.2,121.1,130.8,1284.07,1258.56,1141.85,1386.84,1325.84,1370.09,1381.8,1375.57,1304.74,1167.08,710.62,1612.6,1515.85,1.215,1.02,
Petite-Ile,cotier,-21.3547,55.5686,1416.4,122.9,114.3,123.7,112.5,108.0,96.3,101.3,115.8,127.2,135.4,125.3,133.9,1291.22,1304.28,1164.28,1416.4,1354.61,1399.74,1411.55,1404.45,1330.73,1187.51,711.12,1646.98,1548.16,1.217,0.99,
